series,timestamp,value,label
series_a,2019-01-14T16:26:37.000Z,29.4375,
series_b,2019-01-14T16:26:37.000Z,-0.5625,
series_c,2019-01-14T16:26:37.000Z,-154.8125,
series_a,2019-01-14T16:31:37.000Z,28.5625,
series_b,2019-01-14T16:31:37.000Z,-8.8125,
series_c,2019-01-14T16:31:37.000Z,36.5625,
series_a,2019-01-14T16:36:37.000Z,21.8125,
series_b,2019-01-14T16:36:37.000Z,6.9375,
series_c,2019-01-14T16:36:37.000Z,73.875,
series_a,2019-01-14T16:41:37.000Z,19.875,
series_b,2019-01-14T16:41:37.000Z,7.875,
series_c,2019-01-14T16:41:37.000Z,-7,
series_a,2019-01-14T16:46:37.000Z,20.625,
series_b,2019-01-14T16:46:37.000Z,15.25,
series_c,2019-01-14T16:46:37.000Z,101.4375,
series_a,2019-01-14T16:51:37.000Z,19.6875,
series_b,2019-01-14T16:51:37.000Z,12.625,
series_c,2019-01-14T16:51:37.000Z,-25.6875,
series_a,2019-01-14T16:56:37.000Z,20.125,
series_b,2019-01-14T16:56:37.000Z,20.9375,
series_c,2019-01-14T16:56:37.000Z,97.5625,
series_a,2019-01-14T17:01:37.000Z,19.9375,
series_b,2019-01-14T17:01:37.000Z,23.125,
series_c,2019-01-14T17:01:37.000Z,189.875,
series_a,2019-01-14T17:06:37.000Z,20.75,
series_b,2019-01-14T17:06:37.000Z,8.6875,
series_c,2019-01-14T17:06:37.000Z,93.1875,
series_a,2019-01-14T17:11:37.000Z,21.0625,
series_b,2019-01-14T17:11:37.000Z,0.875,
series_c,2019-01-14T17:11:37.000Z,6.3125,
series_a,2019-01-14T17:16:37.000Z,20.3125,
series_b,2019-01-14T17:16:37.000Z,20.0625,
series_c,2019-01-14T17:16:37.000Z,-55.5,
series_a,2019-01-14T17:21:37.000Z,20.625,
series_b,2019-01-14T17:21:37.000Z,-1.8125,
series_c,2019-01-14T17:21:37.000Z,-45.8125,
series_a,2019-01-14T17:26:37.000Z,21,
series_b,2019-01-14T17:26:37.000Z,5,
series_c,2019-01-14T17:26:37.000Z,32.125,
series_a,2019-01-14T17:31:37.000Z,21.3125,
series_b,2019-01-14T17:31:37.000Z,19.0625,
series_c,2019-01-14T17:31:37.000Z,0.3125,
